"county","county_ascii","county_full","county_fips","state_id","state_name","city_largest","city_largest_id","lat","lng","population","density","timezone","timezone_all","age_median","age_under_10","age_10_to_19","age_20s","age_30s","age_40s","age_50s","age_60s","age_70s","age_over_80","male","female","married","divorced","never_married","widowed","family_size","family_dual_income","income_household_median","income_household_under_5","income_household_5_to_10","income_household_10_to_15","income_household_15_to_20","income_household_20_to_25","income_household_25_to_35","income_household_35_to_50","income_household_50_to_75","income_household_75_to_100","income_household_100_to_150","income_household_150_over","income_household_six_figure","income_individual_median","home_ownership","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","labor_force_participation","labor_force","labor_force_average","unemployment_rate","unemployment_rate_average","bls_date","race_white","race_black","race_asian","race_native","race_pacific","race_other","race_multiple","hispanic","disabled","poverty","limited_english","commute_time","health_uninsured","veteran","zips"
"Los Angeles","Los Angeles","Los Angeles County","06037","CA","California","Los Angeles","1840020491","34.3209","-118.2247","10019635","953.02","America/Los_Angeles","America/Los_Angeles","37.0","11.5","12.7","14.8","15.1","13.4","13.0","10.4","5.6","3.5","49.5","50.5","42.8","10.4","42.1","4.7","3.61","57.3","76367","3.4","2.0","4.3","3.4","3.6","7.2","10.0","15.4","12.4","16.8","21.5","38.3","32814","46.2","646487","1653","35.7","20.0","20.4","25.6","22.1","11.9","34.0","44.6","64.9","4927679","4986701.0","7.0","4.9","12-2022","43.7","7.9","14.8","1.0","0.2","22.0","10.4","48.7","10.1","13.9","12.1","31.4","9.1","3.1","90001 90002 90003 90004 90005 90006 90007 90008 90009 90010 90011 90012 90013 90014 90015 90016 90017 90018 90019 90020 90021 90022 90023 90024 90025 90026 90027 90028 90029 90030 90031 90032 90033 90034 90035 90036 90037 90038 90039 90040 90041 90042 90043 90044 90045 90046 90047 90048 90049 90050 90051 90052 90053 90054 90055 90056 90057 90058 90059 90060 90061 90062 90063 90064 90065 90066 90067 90068 90069 90070 90071 90072 90073 90074 90075 90076 90077 90078 90079 90080 90081 90082 90083 90084 90086 90087 90088 90089 90091 90093 90094 90095 90096 90099 90134 90189 90201 90202 90209 90210 90211 90212 90213 90220 90221 90222 90223 90224 90230 90231 90232 90239 90240 90241 90242 90245 90247 90248 90249 90250 90251 90254 90255 90260 90261 90262 90263 90264 90265 90266 90267 90270 90272 90274 90275 90277 90278 90280 90290 90291 90292 90293 90294 90295 90296 90301 90302 90303 90304 90305 90306 90307 90308 90309 90310 90311 90312 90401 90402 90403 90404 90405 90406 90407 90408 90409 90410 90411 90501 90502 90503 90504 90505 90506 90507 90508 90509 90510 90601 90602 90603 90604 90605 90606 90607 90608 90609 90610 90623 90630 90631 90637 90638 90639 90640 90650 90651 90652 90660 90661 90662 90670 90671 90701 90702 90703 90704 90706 90707 90710 90711 90712 90713 90714 90715 90716 90717 90723 90731 90732 90733 90734 90740 90744 90745 90746 90747 90748 90749 90755 90801 90802 90803 90804 90805 90806 90807 90808 90809 90810 90813 90814 90815 90822 90831 90832 90833 90840 90842 90844 90846 90847 90848 90853 90895 91001 91003 91006 91007 91008 91009 91010 91011 91012 91016 91017 91020 91021 91023 91024 91025 91030 91031 91040 91041 91042 91043 91046 91066 91077 91101 91102 91103 91104 91105 91106 91107 91108 91109 91110 91114 91115 91116 91117 91118 91121 91123 91124 91125 91126 91129 91182 91184 91185 91188 91189 91199 91201 91202 91203 91204 91205 91206 91207 91208 91209 91210 91214 91221 91222 91224 91225 91226 91301 91302 91303 91304 91305 91306 91307 91308 91309 91310 91311 91313 91316 91321 91322 91324 91325 91326 91327 91328 91329 91330 91331 91333 91334 91335 91337 91340 91341 91342 91343 91344 91345 91346 91350 91351 91352 91353 91354 91355 91356 91357 91361 91362 91364 91365 91367 91371 91372 91376 91380 91381 91382 91383 91384 91385 91386 91387 91390 91392 91393 91394 91395 91396 91401 91402 91403 91404 91405 91406 91407 91408 91409 91410 91411 91412 91413 91416 91423 91426 91436 91470 91482 91495 91496 91499 91501 91502 91503 91504 91505 91506 91507 91508 91510 91521 91522 91523 91526 91601 91602 91603 91604 91605 91606 91607 91608 91609 91610 91611 91612 91614 91615 91616 91617 91618 91702 91706 91709 91711 91714 91715 91716 91722 91723 91724 91731 91732 91733 91734 91735 91740 91741 91744 91745 91746 91747 91748 91749 91750 91754 91755 91756 91759 91765 91766 91767 91768 91769 91770 91771 91772 91773 91775 91776 91778 91780 91788 91789 91790 91791 91792 91793 91801 91802 91803 91804 91896 91899 92397 93243 93510 93532 93534 93535 93536 93539 93543 93544 93550 93551 93552 93553 93560 93563 93584 93586 93590 93591 93599"
"Cook","Cook","Cook County","17031","IL","Illinois","Chicago","1840000494","41.8401","-87.8168","5265398","2151.47","America/Chicago","America/Chicago","37.3","11.8","12.4","14.4","15.1","12.8","12.6","10.9","6.3","3.6","48.8","51.2","42.2","10.6","41.7","5.4","3.33","55.4","72121","4.0","2.8","3.7","3.6","4.0","7.7","10.3","15.5","12.4","16.1","19.8","35.9","37760","57.5","266690","1214","31.0","12.0","22.4","24.8","23.8","17.0","40.8","43.4","66.2","2634688","2655977.0","7.3","5.1","12-2022","52.0","23.0","7.5","0.4","0.0","9.9","7.0","25.6","10.4","13.5","7.3","32.7","9.0","3.6","60004 60005 60006 60007 60008 60009 60010 60015 60016 60017 60018 60019 60022 60025 60026 60029 60038 60043 60053 60055 60056 60062 60067 60068 60070 60074 60076 60077 60078 60082 60089 60090 60091 60093 60094 60095 60103 60104 60107 60120 60126 60130 60131 60133 60141 60153 60154 60155 60159 60160 60161 60162 60163 60164 60165 60168 60169 60171 60172 60173 60176 60179 60192 60193 60194 60195 60196 60201 60202 60203 60204 60208 60301 60302 60303 60304 60305 60402 60406 60409 60411 60412 60415 60418 60419 60422 60423 60425 60426 60428 60429 60430 60438 60439 60443 60445 60449 60452 60453 60454 60455 60456 60457 60458 60459 60461 60462 60463 60464 60465 60466 60467 60469 60471 60472 60473 60475 60476 60477 60478 60480 60482 60487 60499 60501 60513 60521 60523 60525 60526 60527 60534 60546 60558 60601 60602 60603 60604 60605 60606 60607 60608 60609 60610 60611 60612 60613 60614 60615 60616 60617 60618 60619 60620 60621 60622 60623 60624 60625 60626 60628 60629 60630 60631 60632 60633 60634 60636 60637 60638 60639 60640 60641 60642 60643 60644 60645 60646 60647 60649 60651 60652 60653 60654 60655 60656 60657 60659 60660 60661 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60682 60684 60685 60686 60687 60688 60689 60690 60691 60693 60694 60695 60696 60697 60699 60701 60706 60707 60712 60714 60803 60804 60805 60827"
"Harris","Harris","Harris County","48201","TX","Texas","Houston","1840020925","29.8577","-95.3936","4697957","1062.63","America/Chicago","America/Chicago","33.9","14.6","14.7","14.4","15.5","13.4","11.6","9.1","4.6","2.1","49.8","50.2","46.9","12.2","36.6","4.2","3.45","54.2","65788","3.4","2.6","3.4","3.7","4.1","9.2","11.9","17.2","12.2","15.3","17.0","32.3","33724","54.9","200957","1164","31.3","18.1","22.8","26.6","20.6","12.0","32.6","48.4","67.5","2377903","2339653.0","6.5","4.5","12-2022","52.0","18.9","7.0","0.5","0.1","10.2","11.3","43.6","9.6","15.6","11.4","29.1","21.1","4.4","77001 77002 77003 77004 77005 77006 77007 77008 77009 77010 77011 77012 77013 77014 77015 77016 77017 77018 77019 77020 77021 77022 77023 77024 77025 77026 77027 77028 77029 77030 77031 77032 77033 77034 77035 77036 77037 77038 77039 77040 77041 77042 77043 77044 77045 77046 77047 77048 77049 77050 77051 77052 77053 77054 77055 77056 77057 77058 77059 77060 77061 77062 77063 77064 77065 77066 77067 77068 77069 77070 77071 77072 77073 77074 77075 77076 77077 77078 77079 77080 77081 77082 77083 77084 77085 77086 77087 77088 77089 77090 77091 77092 77093 77094 77095 77096 77098 77099 77201 77202 77203 77204 77205 77206 77207 77208 77209 77210 77212 77213 77215 77216 77217 77218 77219 77220 77221 77222 77223 77224 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77238 77240 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77258 77259 77261 77262 77263 77265 77266 77267 77268 77269 77270 77271 77272 77273 77274 77275 77277 77279 77280 77282 77284 77287 77288 77289 77290 77291 77292 77293 77297 77299 77315 77325 77336 77337 77338 77339 77345 77346 77347 77357 77362 77365 77373 77375 77377 77379 77383 77387 77388 77389 77391 77393 77396 77401 77402 77410 77411 77413 77429 77433 77447 77449 77450 77477 77484 77489 77491 77493 77494 77501 77502 77503 77504 77505 77506 77507 77508 77520 77521 77522 77523 77530 77532 77535 77536 77546 77547 77562 77571 77572 77581 77586 77587 77592 77598"
"Maricopa","Maricopa","Maricopa County","04013","AZ","Arizona","Phoenix","1840020568","33.3490","-112.4915","4367186","183.24","America/Phoenix","America/Phoenix","36.9","12.6","13.9","13.9","13.8","12.9","12.3","10.4","6.8","3.4","49.7","50.3","47.9","13.2","34.1","4.7","3.22","53.0","72944","2.9","1.8","2.7","3.1","3.5","7.6","11.9","17.8","13.9","17.6","17.3","34.9","36928","63.8","304181","1275","30.2","11.2","22.0","32.5","21.5","12.8","34.3","43.3","65.0","2388522","2362283.0","5.0","3.1","12-2022","70.5","5.6","4.2","1.9","0.2","7.0","10.6","31.5","11.4","12.0","3.4","26.4","10.9","7.4","85001 85002 85003 85004 85005 85006 85007 85008 85009 85010 85011 85012 85013 85014 85015 85016 85017 85018 85019 85020 85021 85022 85023 85024 85026 85027 85028 85029 85030 85031 85032 85033 85034 85035 85036 85037 85038 85039 85040 85041 85042 85043 85044 85045 85046 85048 85050 85051 85053 85054 85060 85061 85062 85063 85064 85065 85066 85067 85068 85069 85070 85071 85072 85073 85074 85075 85076 85078 85079 85080 85082 85083 85085 85086 85087 85120 85127 85139 85142 85201 85202 85203 85204 85205 85206 85207 85208 85209 85210 85211 85212 85213 85214 85215 85216 85224 85225 85226 85233 85234 85236 85244 85246 85248 85249 85250 85251 85252 85253 85254 85255 85256 85257 85258 85259 85260 85261 85262 85263 85264 85266 85267 85268 85269 85271 85274 85275 85277 85280 85281 85282 85283 85284 85285 85286 85287 85288 85295 85296 85297 85298 85299 85301 85302 85303 85304 85305 85306 85307 85308 85309 85310 85311 85312 85318 85320 85321 85322 85323 85326 85327 85329 85331 85333 85335 85337 85338 85339 85340 85342 85343 85345 85351 85353 85354 85355 85358 85361 85363 85372 85373 85374 85375 85376 85377 85378 85379 85380 85381 85382 85383 85385 85387 85388 85390 85392 85395 85396 85545"
"San Diego","San Diego","San Diego County","06073","CA","California","San Diego","1840021990","33.0343","-116.7350","3296317","302.29","America/Los_Angeles","America/Los_Angeles","36.3","11.8","12.6","15.5","15.2","12.7","12.3","10.4","6.0","3.4","50.6","49.4","47.9","11.4","36.2","4.4","3.38","56.1","88240","2.6","1.5","2.9","2.8","3.0","6.3","9.1","15.0","12.6","18.9","25.5","44.4","38792","54.1","625259","1842","35.0","11.7","18.2","29.9","24.5","15.7","40.2","52.0","66.4","1588968","1580601.0","6.6","3.3","12-2022","62.0","4.9","12.0","0.8","0.4","8.1","11.9","34.3","10.0","10.7","6.0","26.3","7.5","8.0","91901 91902 91903 91905 91906 91908 91909 91910 91911 91912 91913 91914 91915 91916 91917 91921 91931 91932 91933 91934 91935 91941 91942 91943 91944 91945 91946 91948 91950 91951 91962 91963 91976 91977 91978 91979 91980 91987 92003 92004 92007 92008 92009 92010 92011 92013 92014 92018 92019 92020 92021 92022 92023 92024 92025 92026 92027 92028 92029 92030 92033 92036 92037 92038 92039 92040 92046 92049 92051 92052 92054 92055 92056 92057 92058 92059 92060 92061 92064 92065 92066 92067 92068 92069 92070 92071 92072 92074 92075 92078 92079 92081 92082 92083 92084 92085 92086 92088 92091 92092 92093 92096 92101 92102 92103 92104 92105 92106 92107 92108 92109 92110 92111 92112 92113 92114 92115 92116 92117 92118 92119 92120 92121 92122 92123 92124 92126 92127 92128 92129 92130 92131 92132 92134 92135 92136 92137 92138 92139 92140 92142 92143 92145 92147 92149 92150 92152 92153 92154 92155 92158 92159 92160 92161 92163 92165 92166 92167 92168 92169 92170 92171 92172 92173 92174 92175 92176 92177 92178 92179 92182 92186 92187 92191 92192 92193 92195 92196 92197 92198 92199 92562 92672"
"Orange","Orange","Orange County","06059","CA","California","Mission Viejo","1840020580","33.7031","-117.7609","3182923","1550.02","America/Los_Angeles","America/Los_Angeles","38.5","11.4","13.1","13.8","13.6","13.3","13.9","10.7","6.4","3.7","49.6","50.4","50.1","10.6","34.7","4.6","3.47","59.3","100485","2.8","1.4","2.6","2.2","2.4","5.4","7.7","13.2","12.1","19.3","30.9","50.2","40695","57.0","737468","2057","33.9","13.4","17.2","27.3","26.6","15.5","42.1","48.9","65.8","1604854","1591532.0","5.4","3.0","12-2022","53.6","1.7","21.3","0.6","0.3","12.9","9.5","34.0","8.8","9.9","7.9","27.6","7.1","4.0","90620 90621 90622 90623 90624 90630 90631 90632 90633 90638 90680 90716 90720 90721 90740 90742 90743 90803 92530 92602 92603 92604 92605 92606 92607 92609 92610 92612 92614 92615 92616 92617 92618 92619 92620 92623 92624 92625 92626 92627 92628 92629 92630 92637 92646 92647 92648 92649 92650 92651 92652 92653 92654 92655 92656 92657 92658 92659 92660 92661 92662 92663 92672 92673 92674 92675 92676 92677 92678 92679 92683 92684 92685 92688 92690 92691 92692 92693 92694 92697 92698 92701 92702 92703 92704 92705 92706 92707 92708 92711 92712 92728 92735 92780 92781 92782 92799 92801 92802 92803 92804 92805 92806 92807 92808 92809 92811 92812 92814 92815 92816 92817 92821 92822 92823 92825 92831 92832 92833 92834 92835 92836 92837 92838 92840 92841 92842 92843 92844 92845 92846 92850 92856 92857 92859 92861 92862 92863 92864 92865 92866 92867 92868 92869 92870 92871 92885 92886 92887 92899"
"Kings","Kings","Kings County","36047","NY","New York","New York","1840034016","40.6395","-73.9385","2712360","15095.13","America/New_York","America/New_York","35.7","13.3","11.6","14.8","16.6","12.6","11.6","10.0","6.0","3.5","47.6","52.4","40.3","10.2","44.3","5.2","3.46","53.1","67753","4.5","3.4","5.8","4.4","4.0","7.6","9.9","13.8","11.0","14.9","20.7","35.6","35369","30.7","767937","1582","35.1","16.3","25.2","18.9","23.6","15.9","39.5","41.4","63.7","1176152","1175610.0","7.1","6.2","12-2022","42.1","30.5","11.8","0.4","0.1","9.3","5.8","18.8","9.9","18.8","14.0","42.9","6.6","1.8","11201 11202 11203 11204 11205 11206 11207 11208 11209 11210 11211 11212 11213 11214 11215 11216 11217 11218 11219 11220 11221 11222 11223 11224 11225 11226 11228 11229 11230 11231 11232 11233 11234 11235 11236 11237 11238 11239 11241 11242 11243 11245 11247 11249 11251 11252 11256 11416 11417"
"Miami-Dade","Miami-Dade","Miami-Dade County","12086","FL","Florida","Miami","1840015149","25.6150","-80.5623","2690113","546.69","America/New_York","America/New_York","40.4","11.2","11.6","12.7","13.9","14.3","14.3","10.6","6.9","4.4","48.9","51.1","43.1","15.7","35.6","5.7","3.40","53.9","57815","3.7","3.9","5.0","4.6","5.0","9.6","12.0","17.2","11.8","13.4","13.8","27.2","27523","51.9","332133","1470","41.5","17.5","26.4","24.3","19.8","11.9","31.7","44.2","63.7","1343886","1329827.0","5.1","2.2","12-2022","56.5","16.3","1.5","0.2","0.0","5.3","20.1","68.5","10.1","15.7","24.2","32.0","15.6","2.2","33002 33010 33011 33012 33013 33014 33015 33016 33017 33018 33030 33031 33032 33033 33034 33035 33039 33054 33055 33056 33090 33092 33101 33102 33106 33109 33111 33112 33114 33116 33119 33122 33124 33125 33126 33127 33128 33129 33130 33131 33132 33133 33134 33135 33136 33137 33138 33139 33140 33141 33142 33143 33144 33145 33146 33147 33149 33150 33151 33152 33153 33154 33155 33156 33157 33158 33160 33161 33162 33163 33164 33165 33166 33167 33168 33169 33170 33172 33173 33174 33175 33176 33177 33178 33179 33180 33181 33182 33183 33184 33185 33186 33187 33188 33189 33190 33191 33192 33193 33194 33195 33196 33197 33198 33199 33206 33222 33231 33233 33234 33238 33239 33242 33243 33245 33247 33255 33256 33257 33261 33265 33266 33269 33280 33283 33296 33299 34141"
"Dallas","Dallas","Dallas County","48113","TX","Texas","Dallas","1840019440","32.7666","-96.7778","2604722","1151.92","America/Chicago","America/Chicago","33.7","14.2","14.5","15.3","15.0","13.1","11.9","9.1","4.6","2.3","49.5","50.5","45.0","12.6","38.2","4.2","3.47","56.0","65011","3.2","2.3","3.4","3.3","4.1","8.8","12.9","18.7","13.1","14.9","15.3","30.2","34441","50.5","212595","1233","29.4","19.3","22.6","25.2","20.6","12.3","32.9","42.8","69.0","1451105","1428212.0","5.2","3.8","12-2022","51.8","22.5","6.6","0.5","0.0","8.8","9.8","40.7","9.9","14.2","9.3","27.6","21.4","4.6","75001 75006 75007 75011 75014 75015 75016 75017 75019 75030 75038 75039 75040 75041 75042 75043 75044 75045 75046 75047 75048 75049 75050 75051 75052 75053 75054 75059 75060 75061 75062 75063 75067 75080 75081 75082 75083 75085 75088 75089 75098 75099 75104 75106 75115 75116 75123 75125 75134 75137 75138 75141 75146 75149 75150 75154 75159 75172 75180 75181 75182 75185 75187 75201 75202 75203 75204 75205 75206 75207 75208 75209 75210 75211 75212 75214 75215 75216 75217 75218 75219 75220 75221 75222 75223 75224 75225 75226 75227 75228 75229 75230 75231 75232 75233 75234 75235 75236 75237 75238 75240 75241 75242 75243 75244 75246 75247 75248 75249 75250 75251 75252 75253 75254 75260 75262 75263 75264 75265 75266 75267 75270 75275 75277 75283 75284 75285 75287 75301 75303 75312 75313 75315 75320 75326 75336 75339 75342 75354 75355 75356 75357 75358 75359 75360 75367 75368 75371 75372 75373 75374 75376 75378 75380 75381 75382 75389 75390 75391 75392 75393 75394 75395 75397 75398 76051 76065"
"Riverside","Riverside","Riverside County","06065","CA","California","Riverside","1840020551","33.7436","-115.9938","2409331","129.03","America/Los_Angeles","America/Los_Angeles","36.0","13.0","15.0","13.7","13.4","12.7","12.3","10.1","6.5","3.3","50.1","49.9","49.0","11.3","34.9","4.7","3.73","53.3","76066","3.0","1.7","3.3","3.5","3.6","7.5","10.6","16.3","13.2","18.5","18.9","37.4","32241","68.1","386355","1552","36.3","17.0","26.9","32.5","15.1","8.4","23.5","44.2","60.3","1173420","1161336.0","7.2","4.2","12-2022","51.2","6.5","6.8","0.8","0.3","23.1","11.3","50.3","11.4","12.0","8.3","34.0","8.3","6.4","91752 92028 92201 92202 92203 92210 92211 92220 92223 92225 92226 92230 92234 92235 92236 92239 92240 92241 92247 92248 92253 92254 92255 92258 92260 92261 92262 92263 92264 92270 92274 92276 92277 92282 92320 92324 92373 92399 92501 92502 92503 92504 92505 92506 92507 92508 92509 92513 92514 92516 92517 92518 92519 92521 92522 92530 92531 92532 92536 92539 92543 92544 92545 92546 92548 92549 92551 92552 92553 92554 92555 92556 92557 92561 92562 92563 92564 92567 92570 92571 92572 92581 92582 92583 92584 92585 92586 92587 92589 92590 92591 92592 92593 92595 92596 92599 92860 92877 92878 92879 92880 92881 92882 92883"
"Queens","Queens","Queens County","36081","NY","New York","New York","1840034016","40.7023","-73.8203","2393104","8498.42","America/New_York","America/New_York","39.6","11.2","10.9","13.2","15.2","13.1","13.9","11.5","6.8","4.0","48.8","51.2","45.9","10.1","38.1","5.9","3.56","57.7","75886","2.9","2.2","3.5","3.2","3.7","7.6","10.1","16.3","13.0","17.8","19.7","37.5","35601","45.4","601792","1711","33.0","17.3","26.7","22.1","21.0","12.9","33.9","45.3","63.9","1109676","1110182.0","7.0","5.6","12-2022","33.6","17.8","25.8","0.6","0.0","14.6","7.6","27.9","9.6","11.4","17.8","43.8","8.9","2.2","11001 11004 11005 11040 11101 11102 11103 11104 11105 11106 11109 11120 11208 11237 11351 11352 11354 11355 11356 11357 11358 11359 11360 11361 11362 11363 11364 11365 11366 11367 11368 11369 11370 11371 11372 11373 11374 11375 11377 11378 11379 11380 11381 11385 11386 11405 11411 11412 11413 11414 11415 11416 11417 11418 11419 11420 11421 11422 11423 11424 11425 11426 11427 11428 11429 11430 11431 11432 11433 11434 11435 11436 11437 11439 11451 11499 11581 11690 11691 11692 11693 11694 11695 11697"
